% Model,TE and H2_array.mph
% Version,COMSOL 5.6.0.280
% Date,"Dec 2 2022, 14:38"
% Dimension,3
% Nodes,20933
% Expressions,2
% Description,"Temperature, Temperature"
% Length unit,mm
% x,y,z,T (K),T2 (K)
1.5,1.4999999999999998,0.3,299.902412659276,293.1419355246
1.499999999999993,1.4999999999999996,0,299.94145586283884,293.14193552463416
0.7673323324104893,1.5000000000000002,0,299.98436571210107,293.14193552440344
0.7596817251380716,1.4999999999999998,0.30000000000000004,299.9365839890262,293.14193552441253
0,1.5,0.3,299.9179198689364,293.14193552438473
3,1.5,0.30000000000000004,299.7339928459611,293.14193552436717
0.6400406718119355,1.9757571091571648,-2,311.2934425112379,293.1402303157869
0,2.2499999999999996,-1.7000000000000002,311.2888919848955,293.1402303254482
0.30000000000000004,1.6500000000000001,-1.7000000000000002,311.2434036196034,293.1402303243722
0,2.2499999999999996,-2,311.31677769200917,293.14023032492656
0.3000000000000001,2.250000000000001,-1.7000000000000004,311.23684512864753,293.1402303297313
