% Model,TE and H2_array.mph,,
% Version,COMSOL 5.6.0.280,,
% Date,"Dec 2 2022, 14:38",,
% Dimension,3,,
% Nodes,20933,,
% Expressions,2,,
% Description,"Temperature, Temperature",,
% Length unit,mm,,
% x,y,z,T (K)
0.8,5.85,0,300.0748331
0.920782956,5.394292459,0.3,300.0175618
0,5.25,0,300.0236825
0,5.25,0.3,299.993335
0,6,0.3,300.0123966
1.5,6,0.3,299.9972828
1.5,6,0,300.0346214
2.232667668,6,0,299.9944686
2.240318275,6,0.3,299.954524
2.7,5.85,0,299.9612864
3,6,0,299.9114204
3,5.25,0.3,299.8070532
3,5.25,0,299.8783251
3,6,0.3,299.8155528
0,6.75,-1.7,311.3360506
0,6.75,-2,311.3751404
0.3,6.15,-1.7,311.2947631
0.640040672,6.475757109,-2,311.3485226
0.3,6.75,-1.7,311.2937767
1.017393052,6.15,-1.7,311.2869545
2.353100729,6.748688052,-2,311.3472445
1.466768342,6.669793305,-2,311.3460933
2.297378439,7.5,-1.7,311.312216
2.056895931,7.5,-2,311.3631145
3,7.5,-2,311.3817695
0.702621561,7.5,-1.7,311.3178521
0.3,7.35,-1.7,311.3080769
0,7.5,-2,311.3806163
0.943104069,7.5,-2,311.3639608
0,7.5,-1.7,311.3471093
0.858576759,6.942168375,-1.7,311.2898177
1.017393052,7.35,-1.7,311.2957122
1.5,7.5,-1.7,311.3159406
1.982606948,6.15,-1.7,311.2830976
2.7,6.15,-1.7,311.2910955
3,6.75,-1.7,311.3411162
3,6.75,-2,311.3835199
2.7,6.75,-1.7,311.2947016
2.210481846,6.748983317,-1.7,311.2849778
1.458087574,6.819802701,-1.7,311.2898145
2.7,7.35,-1.7,311.3061798
3,7.5,-1.7,311.3468457
1.982606948,7.35,-1.7,311.297202
1.7026842,7.131415495,0.120228024,300.0436317
1.7,6.75,0,300.0581923
1.3,6.75,0,300.1091725
1.7,7.35,0,300.0560686
2.2,7.35,0,300.0471465
1.3,7.35,0,300.1047286
0.8,6.15,0,300.099916
0.90918075,6.607285368,0,300.1121659
0.3,6.75,0,300.1158793
0.3,6.15,0,300.085005
1.3,6.15,0,300.0818081
0,6.75,0.3,300.0430604
0,6.75,0,300.0718236
0.3,7.35,0,300.1124952
0.920782956,6.894292459,0.3,300.0656928
0.8,7.35,0,300.122904
1.7,6.15,0,300.0357016
2.2,6.15,0,300.0252407
2.7,6.15,0,299.9872859
1.5,7.5,0,300.0812495
0.767332332,7.5,0,300.1279639
1.5,7.5,0.3,300.0440477
2.232667668,7.5,0,300.0392817
1.866483809,6.686410813,0.3,299.9991456
2.30918075,6.607285368,0,300.0328257
1.367892559,6.62158072,0.3,300.0393716
2.444264548,6.504479795,0.3,299.9652647
2.7,6.75,0,300.0151494
2.240318275,7.5,0.3,299.9992416
2.7,7.35,0,300.0057881
3,7.5,0,299.9525475
0.759681725,7.5,0.3,300.080518
0,7.5,0,300.1044824
0,7.5,0.3,300.0660405
3,6.75,0,299.9122377
3,6.75,0.3,299.8571325
3,7.5,0.3,299.8418081
0.640040672,7.975757109,-2,311.3747906
2.353100729,8.248688052,-2,311.3753502
1.017393052,7.65,-1.7,311.3129964
1.466768342,8.169793305,-2,311.3738304
0.3,7.65,-1.7,311.3219719
0,8.25,-2,311.4017012
0,8.25,-1.7,311.3631861
0.3,8.25,-1.7,311.3201131
0.3,8.85,-1.7,311.3376244
0,9,-1.7,311.3766947
0.702621561,9,-1.7,311.3481377
0,9,-2,311.4097943
0.858576759,8.442168375,-1.7,311.3175014
0.943104069,9,-2,311.3947512
2.297378439,9,-1.7,311.3403665
2.056895931,9,-2,311.3914784
3,9,-2,311.4101649
1.017393052,8.85,-1.7,311.3247316
1.5,9,-1.7,311.3457468
1.458087574,8.319802701,-1.7,311.3177414
3,9,-1.7,311.3677296
3,8.25,-2,311.4094614
2.7,8.85,-1.7,311.3309702
3,8.25,-1.7,311.3730495
2.7,8.25,-1.7,311.323087
1.982606948,8.85,-1.7,311.3265058
2.210481846,8.248983317,-1.7,311.3139736
